Family,403_DC,403_DL,405_DC,405_DL,407_DC,407_DL,408_DC,408_DL,411_DC,411_DL,412_DC,412_DL,414_DC,414_DL,420_DC,420_DL,425_DC,425_DL,427_DC,427_DL,428_DC,428_DL,431_DC,431_DL,432_DC,432_DL,433_DC,433_DL,437_DC,437_DL,438_DC,438_DL,439_DC,439_DL,444_DC,444_DL,449_DC,449_DL,450_DC,450_DL,451_DC,451_DL,452_DC,452_DL,456_DC,456_DL,459_DC,459_DL,461_DC,461_DL,463_DC,463_DL,464_DC,464_DL,465_DC,465_DL,466_DC,466_DL,471_DC,471_DL,472_DC,472_DL,475_DC,475_DL,476_DC,476_DL,478_DC,478_DL,481_DC,481_DL,482_DC,482_DL,484_DC,484_DL,485_DC,485_DL,489_DC,489_DL,495_DC,495_DL,500_DC,500_DL,505_DC,505_DL,509_DC,509_DL,510_DC,510_DL,515_DC,515_DL,517_DC,517_DL,518_DC,518_DL,519_DC,519_DL,521_DC,521_DL,522_DC,522_DL,524_DC,524_DL,528_DC,528_DL,532_DC,532_DL,534_DC,534_DL,535_DC,535_DL,536_DC,536_DL,538_DC,538_DL,541_DC,541_DL,542_DC,542_DL,547_DC,547_DL,548_DC,548_DL,549_DC,549_DL,553_DC,553_DL,555_DC,555_DL,562_DC,562_DL,564_DC,564_DL,568_DC,568_DL,571_DC,571_DL,572_DC,572_DL,573_DC,573_DL,577_DC,577_DL,578_DC,578_DL,579_DC,579_DL,580_DC,580_DL,584_DC,584_DL,590_DC,590_DL,592_DC,592_DL
Staphylococcaceae,11,103,6,75,3,18,8,94,26,15,29,127,0,0,6,0,45,77,0,21,0,0,6152,203,21,110,193,134,15,12,37,0,12,5,11,191,15,5,6,15,15,37,11,177,0,4,12,168,163,2,4,12,13,17,13,67,6,7,12,137,20,10,11,173,0,2,24,354,22,4082,0,9,13,6,18,7,16,4,28,2,120,3,6,16,7,0,19,74,10,6,26,6,11,33,220,6,103,163,36,125,70,173,10,113,8,10,0,185,71,0,0,9,19,9,7,106,8,13,8,0,9,7,6,0,7,26,17,64,23,2,12,8,0,8,8,6,9,0,4,342,4,16,5,19,594,198,9,18,0,0,11,21,5,9
Saccharimonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillaceae,8,10,16,173,0,18,20,267,9,16,18,206,0,0,20,90,42,7,16,18,0,21,38,73,29,67,21,64,36,17,28,10,28,9,24,203,10,72,9,20,44,38,13,342,6,71,16,158,47,2,3,47,19,129,0,55,11,59,23,141,41,36,17,52,12,7,68,486,22,5200,13,9,14,179,13,28,39,113,41,0,36,5,15,97,11,26,11,110,17,25,0,58,28,46,12,12,0,72,15,27,36,44,0,97,57,88,37,59,29,0,0,50,27,18,0,90,20,92,0,86,8,67,6,7,13,104,14,117,8,59,13,16,0,143,35,13,25,15,11,597,0,131,9,27,23,22,15,230,11,0,8,78,21,20
Micrococcaceae,23,0,0,3,0,3,24,2,14,0,0,0,22,0,0,0,0,0,0,0,0,0,28,0,0,0,0,17,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,49,0,0,17,0,0,26,0,0,0,85,0,0,0,4,0,17,0,8,0,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,15,0,22,0,0,0,7,0,0,0,0,170,0,0,27,0,0,166,0,0,0,0,0,0,0,0,14,0,0,0,0,0,74,0,0,0,0,0,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,5,0
Rikenellaceae,0,0,0,2,0,2,0,0,44,17,0,0,0,459,0,0,0,6,59,518,42,29,0,0,70,281,0,0,31,0,72,571,0,0,33,3,0,85,9,1398,5,78,0,0,106,110,0,0,0,0,0,20,0,0,0,0,0,2,0,6,0,0,0,3,0,0,0,0,0,2,22,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,321,0,0,0,0,0,3,34,67,0,0,0,22,0,17,0,28,0,24,0,0,0,0,0,0,0,0,0,0,0,0,33,15,0,0,70,332,0,0,0,16,0,0,0,0,0,0,97,2,0,37,2,0,0,0,0,0
Clostridia_vadinBB60_group,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,96,594,0,36,0,2,14,361,0,0,0,0,10,357,0,0,0,0,0,71,4,3,0,0,0,0,41,16,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,21,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,43,0,0,0,15,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,30,326,0,0,0,0,0,0,0,0,0,0,0,0,10,31,0,0,0,0,0,0
Burkholderiaceae,0,0,0,22,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,3,0,0,0,0,0,10,32,0,0,0,0,20,0,0,0,10,0,0,0,0,0,0,20,3,82,0,12,0,0,0,0,28,0,0,0,0,0,59,0,0,12,0,15,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,17,8,0,3,0,0,7,0,67,0,0,0,0,0,8,0,3,17,151,0,0,0,9,17,0,0,7,0,0,0,12,0,0,0,0,0,6,0,6,0,40,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Marinifilaceae,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,162,0,0,0,0,0,0,0,0
Monoglobaceae,16,0,24,0,0,0,0,0,0,0,0,0,0,6,19,0,0,0,0,38,57,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,40,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,109,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,77,0,0,5,0,0,0,0,0,77,0
Erysipelatoclostridiaceae,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,14,0,19,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,19,0,0,0,0,0,8,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,0,0,0,0,0,0
Erysipelotrichaceae,26,0,51,0,0,0,0,0,35,0,0,0,0,26,0,0,0,0,7,3,0,7,0,0,8,6,150,0,0,0,0,0,0,0,0,15,0,0,0,10,0,0,5,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,32,0,22,41,0,32,6,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,51,0,0,0,0,0,9,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,11,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Aerococcaceae,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moraxellaceae,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
Comamonadaceae,3,0,29,44,49,0,0,27,0,0,0,0,0,0,0,22,93,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,36,19,6,0,49,0,0,0,0,0,0,0,0,0,0,0,21,34,23,19,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,26,0,0,0,0,18,0,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,25,32,0,0,0,22,0,0,0,0,0,7,26,0,0,4,3,0,0,0,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
Rhizobiaceae,0,0,0,0,3,0,0,29,0,0,0,21,0,0,0,0,0,0,26,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,58,0,0,0,0,10,0,0,24,0,0,0,80,0,6,0,0,0,0,0,0,0,0,0,9,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,75,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0
Butyricicoccaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,6,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,13,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,53,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,141,0,0,0,7,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
Prevotellaceae,0,0,0,4,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,424,0,0,0,0,99,0,0,0,2,0,139,0,9,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,15,0,4,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,13,0,0,28,466,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcaligenaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0
Caulobacteraceae,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Deferribacteraceae,7,6,21,55,226,9,10,239,13,89,20,26,6,15837,7,29,340,105,2595,19613,11,176,15,2100,584,5767,27,10,22,38,361,12842,50,49,132,44,28,3188,343,19973,0,77,14,4,797,327,105,92,30,7,9,87,7,546,0,5,0,107,24,83,4,63,9,48,0,0,4,429,21,3,7,1269,12,20,16,0,21,276,34,784,9,0,16,10,21,0,12,13,9,22,5,27,7,67,11,50,100,353,8,0,70,600,14,161,105,848,13,10,7,400,10,9,21,82,9,182,10,66,10,6,9,145,4,71,6,113,16,10,233,130,12,5,422,5607,4,0,26,207,21,10,5,8,0,31,330,682,504,1112,10,0,180,83,17,190
Halomonadaceae,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,14,92,0,0,0,0,0,0,50,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0
Clostridiaceae,0,0,0,0,0,0,0,34,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,221,12,267,13,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,3,127,0,0,0,0,0,0,0,59,0,0,0,34,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,204,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,27,0,26,5,90,0,0,0,0,0,40,0,0,0,150,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0
Actinomycetaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Listeriaceae,7,0,9,70,0,7,11,60,0,12,7,110,0,0,0,10,13,9,12,15,7,0,16,6,12,31,12,8,13,3,4,0,24,3,4,93,8,7,7,9,20,15,8,179,11,0,15,78,21,0,0,0,0,6,12,10,5,24,0,14,18,28,0,23,0,0,16,282,16,3261,8,6,7,6,8,8,7,11,34,0,0,0,16,15,0,10,14,18,0,9,7,14,9,25,12,11,11,3,10,0,16,11,8,33,0,10,6,13,9,0,9,13,11,10,11,6,13,25,7,0,0,6,0,0,0,12,14,13,9,8,13,0,4,0,8,0,10,0,9,259,8,0,0,18,11,0,10,15,0,0,0,17,13,10
Clostridia_UCG-014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0