Genus,403_DC,403_DL,405_DC,405_DL,407_DC,407_DL,408_DC,408_DL,411_DC,411_DL,412_DC,412_DL,414_DC,414_DL,420_DC,420_DL,425_DC,425_DL,427_DC,427_DL,428_DC,428_DL,431_DC,431_DL,432_DC,432_DL,433_DC,433_DL,437_DC,437_DL,438_DC,438_DL,439_DC,439_DL,444_DC,444_DL,449_DC,449_DL,450_DC,450_DL,451_DC,451_DL,452_DC,452_DL,456_DC,456_DL,459_DC,459_DL,461_DC,461_DL,463_DC,463_DL,464_DC,464_DL,465_DC,465_DL,466_DC,466_DL,471_DC,471_DL,472_DC,472_DL,475_DC,475_DL,476_DC,476_DL,478_DC,478_DL,481_DC,481_DL,482_DC,482_DL,484_DC,484_DL,485_DC,485_DL,489_DC,489_DL,495_DC,495_DL,500_DC,500_DL,505_DC,505_DL,509_DC,509_DL,510_DC,510_DL,515_DC,515_DL,517_DC,517_DL,518_DC,518_DL,519_DC,519_DL,521_DC,521_DL,522_DC,522_DL,524_DC,524_DL,528_DC,528_DL,532_DC,532_DL,534_DC,534_DL,535_DC,535_DL,536_DC,536_DL,538_DC,538_DL,541_DC,541_DL,542_DC,542_DL,547_DC,547_DL,548_DC,548_DL,549_DC,549_DL,553_DC,553_DL,555_DC,555_DL,562_DC,562_DL,564_DC,564_DL,568_DC,568_DL,571_DC,571_DL,572_DC,572_DL,573_DC,573_DL,577_DC,577_DL,578_DC,578_DL,579_DC,579_DL,580_DC,580_DL,584_DC,584_DL,590_DC,590_DL,592_DC,592_DL
Halomonas,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,14,92,0,0,0,0,0,0,50,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0
Incertae_Sedis,110,0,134,37,11,5,0,8,5360,60,470,5,76,554,867,661,0,0,317,309,230,54,0,160,336,479,249,0,229,64,67,462,52,3,731,53,30,47,14,1483,43,0,74,0,557,116,33,0,0,0,187,6,18,3,727,133,36,6,0,0,56,10,0,10,140,8,151,91,461,41,650,210,63,106,33,65,63,0,83,36,0,0,4,0,21,2,45,0,0,0,2124,351,0,9,15,18,859,452,47,0,0,0,36,23,430,33,0,127,0,0,54,0,5,0,0,17,4,0,27,20,116,0,8,16,51,5,51,122,56,35,61,74,102,294,62,0,0,17,4,0,0,0,0,0,111,97,71,75,32,0,48,0,419,3
Intestinimonas,42,0,130,0,0,0,0,0,550,21,87,0,16,100,0,28,0,0,79,108,0,8,0,88,70,38,45,0,52,0,0,132,0,0,31,0,0,48,0,205,0,0,24,0,187,58,0,0,0,0,64,0,5,0,126,0,0,0,0,0,0,0,0,0,9,0,0,0,13,0,58,9,0,0,0,0,115,0,4,0,0,0,0,0,11,0,0,0,0,0,168,0,0,0,12,0,86,35,30,0,0,0,20,42,33,0,5,0,0,0,18,0,4,0,0,33,0,0,4,0,44,0,0,0,3,7,11,14,54,0,12,0,8,20,46,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,94,0
Lachnoclostridium,682,8,626,58,42,47,0,22,3811,93,617,15,138,649,433,561,0,0,95,758,196,31,15,178,677,1052,1708,0,270,33,193,401,142,10,751,169,85,329,51,1063,54,58,874,4,546,156,0,0,0,13,518,0,56,0,1442,18,155,0,33,173,0,17,0,23,330,26,86,0,661,209,1478,442,362,144,803,3,1051,226,342,142,74,0,0,9,253,0,247,0,0,0,2642,774,0,0,93,20,1740,275,575,0,48,0,292,286,1629,256,528,306,0,4,135,129,889,16,0,447,23,4,256,62,380,0,33,0,255,69,517,136,92,38,664,36,135,645,29,0,0,0,260,11,0,0,67,0,475,17,687,1154,66,0,39,0,1420,15
Lachnospiraceae_FCS020_group,17,0,24,2,82,0,0,0,540,162,56,0,12,429,40,117,0,0,17,337,15,19,0,0,65,208,337,0,23,0,52,108,31,0,36,27,0,152,9,196,0,0,99,0,38,38,0,0,0,0,28,0,0,0,0,0,0,0,20,0,0,0,0,0,19,0,33,0,67,0,42,48,6,0,30,0,0,0,0,0,0,0,12,0,0,0,7,0,0,0,124,6,0,0,14,0,132,164,7,0,0,0,10,0,123,40,47,0,0,16,0,0,91,0,0,0,0,0,0,8,8,0,0,0,37,0,0,0,9,14,83,0,0,0,0,0,11,20,15,0,0,0,0,0,14,0,0,37,0,0,4,0,32,0
Lachnospiraceae_NK4A136_group,217,0,99,89,335,6,56,476,744,403,34,102,64,11108,157,276,68,71,4044,12658,935,642,111,1736,801,5605,332,5,286,84,1108,8296,494,91,573,89,81,2417,1815,15750,92,460,63,0,4951,594,4,8,33,3,235,133,89,415,666,28,80,75,0,164,55,23,0,48,505,0,0,29,334,146,550,3367,380,76,158,105,289,227,13,1172,2,2,273,18,54,20,224,17,28,6,883,281,0,11,286,222,2285,5312,17,104,243,172,124,746,5834,1257,70,292,148,254,27,79,268,40,9,694,64,296,23,0,7,64,53,54,166,317,92,61,1228,192,176,99,1882,5250,11,0,85,206,9,0,168,33,30,0,1232,356,589,1025,89,31,765,100,453,12
Lachnospiraceae_UCG-001,380,5,119,169,0,8,119,351,0,143,11,13,0,8,0,15,127,55,3422,21,111,199,163,2039,39,2947,252,64,0,0,0,0,0,8,37,44,48,2147,1667,9555,7,133,0,5,3144,591,47,102,0,11,0,50,0,19,0,0,102,7,47,489,54,38,0,35,1186,62,8,21,59,54,702,1549,661,0,9,0,492,75,141,1682,0,0,85,0,178,0,66,0,42,20,2054,125,0,13,154,448,3197,7600,36,30,286,237,286,1763,7843,958,69,201,211,138,38,78,1003,23,3,2000,212,163,40,0,119,0,675,0,380,472,285,199,680,282,874,186,749,1852,211,0,196,377,20,9,84,0,6,0,551,190,922,1516,587,289,10,0,312,106
Lachnospiraceae_UCG-006,273,0,72,13,0,19,0,11,593,0,235,0,59,294,220,166,0,0,32,143,25,0,0,42,329,203,861,0,134,0,190,155,10,2,245,8,7,81,37,277,0,0,489,0,169,11,0,0,0,0,160,5,3,0,136,0,56,0,6,0,0,39,0,0,93,57,34,0,523,211,180,84,54,0,359,21,409,34,84,7,0,0,29,4,76,0,43,3,0,0,239,48,4,0,0,0,128,121,15,0,0,63,45,111,692,69,267,28,0,0,29,0,5,0,0,189,13,0,0,0,62,0,33,0,47,13,56,59,8,0,79,0,94,191,112,0,0,26,36,0,0,0,0,0,197,83,12,19,0,0,15,0,635,0
Lachnospiraceae1,54,0,18,58,199,4,0,103,2267,383,170,13,26,6204,421,411,0,78,1229,9970,197,196,32,609,305,2208,186,0,297,34,142,3442,128,3,425,21,29,1507,628,15345,12,23,59,0,1279,213,4,79,17,0,29,51,42,196,308,4,36,4,7,26,4,31,0,16,416,133,201,4,26,39,82,460,29,26,86,0,112,28,56,168,0,0,19,7,32,7,157,0,0,0,4651,921,0,5,128,130,851,1799,6,53,84,79,118,327,2741,361,75,84,0,59,64,10,382,17,0,362,3,114,19,4,122,10,105,18,122,178,206,144,225,38,195,69,734,2218,40,0,34,428,4,0,24,24,0,0,248,13,203,281,38,82,119,75,578,3
Lachnospiraceae2,205,21,52,22,163,0,26,58,1020,152,23,4,42,1541,141,105,107,173,952,2882,502,483,27,837,609,3018,341,18,96,0,946,926,165,0,370,8,90,1024,424,3295,40,0,228,0,777,124,0,0,55,0,286,39,63,0,1159,0,67,0,56,315,28,13,0,0,77,5,37,30,78,97,361,341,62,76,0,0,89,0,37,365,15,0,76,0,54,4,93,0,7,0,1103,418,0,0,10,81,1324,1999,167,0,0,205,144,352,1756,626,204,176,220,137,18,19,414,89,0,117,56,62,22,0,91,0,63,11,82,37,96,70,459,210,462,10,351,1266,103,56,0,135,0,16,0,0,0,191,662,469,280,562,22,25,512,42,444,0
Lactobacillus,50271,1220,52888,5928,13292,5857,12471,1800,40462,3555,59127,2476,12844,2308,5593,3331,54083,1168,4974,3146,19066,1313,20457,17352,84560,10177,52735,894,57777,3701,10386,2780,57836,4642,47171,25476,32358,4371,2789,18004,4212,463,44772,859,4328,927,49889,4074,112333,306,28251,2648,92102,1330,44397,1110,54392,2051,54435,1440,10298,513,19936,2500,46736,4509,30877,1846,19955,10502,35113,3132,85494,3117,94149,3311,54870,13563,49116,1980,1791,602,12170,489,37804,2473,41515,1962,84513,33502,26088,5455,14856,3449,24426,2341,47303,17370,57847,1304,8947,598,56581,31341,22511,1755,26872,16204,13300,1498,35035,15630,40430,2185,22047,25849,13341,23218,21536,6280,38604,2475,55047,976,57339,16352,83256,48115,18776,1221,33663,6966,1008,2184,11987,841,3113,3694,39372,9894,5159,714,12004,1951,10825,2298,68727,42410,3104,1016,62929,4866,48607,1188
Lawsonella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,16,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,63,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0
Listeria,7,0,9,70,0,7,11,60,0,12,7,110,0,0,0,10,13,9,12,15,7,0,16,6,12,31,12,8,13,3,4,0,24,3,4,93,8,7,7,9,20,15,8,179,11,0,15,78,21,0,0,0,0,6,12,10,5,24,0,14,18,28,0,23,0,0,16,282,16,3261,8,6,7,6,8,8,7,11,34,0,0,0,16,15,0,10,14,18,0,9,7,14,9,25,12,11,11,3,10,0,16,11,8,33,0,10,6,13,9,0,9,13,11,10,11,6,13,25,7,0,0,6,0,0,0,12,14,13,9,8,13,0,4,0,8,0,10,0,9,259,8,0,0,18,11,0,10,15,0,0,0,17,13,10
Marvinbryantia,45,0,72,9,0,3,0,0,177,154,65,0,43,82,76,20,0,0,26,266,92,0,0,0,259,67,1018,0,43,0,0,19,45,0,116,77,8,101,0,161,0,0,197,0,73,0,3,0,0,0,196,0,0,0,48,0,17,0,15,8,0,0,0,0,18,4,0,0,353,79,70,14,21,0,38,0,414,157,17,13,0,0,0,0,46,0,45,0,0,0,59,0,0,0,40,0,18,77,0,0,0,0,97,26,179,0,93,174,0,0,23,65,0,0,0,0,0,5,27,0,13,0,0,0,43,0,70,0,6,0,16,0,16,0,16,73,0,0,19,0,0,0,0,0,0,0,146,310,0,0,13,0,173,0
Micrococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monoglobus,16,0,24,0,0,0,0,0,0,0,0,0,0,6,19,0,0,0,0,38,57,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,40,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,109,0,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,77,0,0,5,0,0,0,0,0,77,0
Mucispirillum,7,6,21,55,226,9,10,239,13,89,20,26,6,15837,7,29,340,105,2595,19613,11,176,15,2100,584,5767,27,10,22,38,361,12842,50,49,132,44,28,3188,343,19973,0,77,14,4,797,327,105,92,30,7,9,87,7,546,0,5,0,107,24,83,4,63,9,48,0,0,4,429,21,3,7,1269,12,20,16,0,21,276,34,784,9,0,16,10,21,0,12,13,9,22,5,27,7,67,11,50,100,353,8,0,70,600,14,161,105,848,13,10,7,400,10,9,21,82,9,182,10,66,10,6,9,145,4,71,6,113,16,10,233,130,12,5,422,5607,4,0,26,207,21,10,5,8,0,31,330,682,504,1112,10,0,180,83,17,190
Muribaculaceae,29344,319,4560,1261,714,682,2779,513,28043,1953,3162,409,5588,3875,10654,1487,456,804,1146,3940,30451,662,479,2982,18515,3072,39961,369,7821,180,4546,1183,22094,257,8125,2247,6164,988,481,13605,74,268,30562,222,1457,244,15,380,730,111,14225,2520,6584,497,28213,311,20581,93,7187,413,2846,232,7,467,9844,194,2840,811,9281,1076,44753,2218,17393,537,6603,238,17282,1430,7070,869,437,162,11525,178,18505,209,3253,200,115,10,18412,1628,788,129,14131,99,16299,2604,16545,800,2052,307,15743,2724,1470,677,10827,8752,5633,424,7141,1776,4965,91,22,3494,3691,1299,8486,1996,14781,554,7929,159,17356,3256,15476,2297,10960,576,7214,895,2579,4912,8347,1274,894,1560,4072,120,586,102,3333,1620,2215,1379,35952,10625,1825,926,32948,492,50020,580
Muribaculum,201,0,8,11,15,5,0,20,119,15,10,8,53,44,53,65,0,0,55,116,604,29,0,0,481,41,1075,0,25,0,45,22,494,0,95,35,113,22,0,351,0,0,305,0,134,0,0,0,0,0,0,34,0,0,0,0,488,0,108,0,0,0,0,0,38,0,51,0,58,0,788,70,75,0,20,0,646,273,70,13,0,0,140,0,97,0,52,0,0,0,442,56,0,0,467,0,239,0,238,0,212,0,120,17,0,0,280,285,39,0,85,9,22,0,0,0,11,0,80,0,116,0,0,0,174,9,155,0,180,8,67,0,122,58,51,23,15,0,13,0,0,0,105,150,0,0,990,326,29,0,253,0,26,0
Odoribacter,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,162,0,0,0,0,0,0,0,0
Oligella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0
Oscillibacter,0,0,0,0,9,0,0,0,28,0,0,0,0,132,0,67,0,0,180,267,24,29,0,113,66,109,0,0,11,0,0,128,27,0,0,0,0,87,24,748,0,0,2,0,106,45,0,0,0,0,0,0,0,31,37,0,0,0,0,26,0,0,0,20,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,13,13,0,0,44,6,25,45,0,0,0,71,4,64,50,119,0,0,45,18,0,0,0,0,0,46,4,0,0,0,0,0,0,0,4,15,0,0,48,4,7,0,57,413,0,0,0,18,0,0,0,0,0,0,7,0,6,227,7,0,29,0,17,0
Oscillospiraceae1,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,47,80,0,21,0,0,0,24,0,0,0,0,39,43,0,0,0,0,0,0,0,189,0,0,0,0,53,50,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,115,0,0,0,0,3,0,14,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,9,0,0,0,0,0,0,0,0,24,0,0,23,6,0,0,0
Oscillospiraceae2,0,0,0,4,0,0,4,185,13,67,0,0,4,464,13,10,0,8,418,778,33,36,0,206,113,458,27,0,12,0,2,439,5,0,59,20,4,663,33,2591,14,15,11,0,363,81,0,0,0,0,15,0,8,173,40,0,0,2,0,98,0,0,0,0,0,2,0,0,4,0,53,206,35,0,24,0,12,45,0,28,0,0,0,0,0,0,10,0,0,0,106,35,0,64,0,0,143,330,5,0,0,0,5,115,86,54,0,0,0,81,0,0,0,0,0,87,0,0,0,3,0,0,0,0,14,49,0,0,120,68,0,0,54,644,26,0,0,69,0,0,0,0,0,0,46,0,31,162,0,0,39,0,39,0
Peptococcaceae1,7,0,0,0,0,0,0,16,0,0,0,0,0,47,0,0,0,0,11,76,7,0,0,0,12,0,42,0,7,0,0,33,0,0,0,0,0,11,0,159,0,0,0,0,28,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,217,7,0,6,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,22,0,0,0,0,0,15,52,0,0,0,0,2,0,95,85,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,6,0,100,0,0,0,0,21,0,0,0,2,0,0,29,60,0,0,0,0,10,0
Pseudomonas,9,24,18,47,0,0,15,85,40,13,54,377,5,0,44,0,56,108,51,8,0,0,58,6,10,24,1293,11,19,46,4,0,9,7,0,61,6,0,148,7,28,237,9,47,21,38,88,22,198,0,0,0,5,101,2,0,6,62,9,104,133,30,217,250,9,0,4,102,3,1324,9,36,0,0,0,12,22,69,11,49,124,46,0,15,16,4,19,60,0,0,10,32,7,62,13,6,0,120,7,0,38,147,0,28,0,45,28,87,30,5,0,7,22,27,21,13,0,8,0,0,73,9,9,16,19,46,9,27,6,0,3,73,5,31,5,62,7,12,0,125,0,109,49,84,49,106,29,137,137,51,11,9,0,44
Ralstonia,0,0,0,22,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizobiaceae,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0
Roseburia,168,0,0,16,351,3,227,362,802,79,33,4,34,2352,68,11,0,24,1133,3330,213,299,66,358,323,1641,159,44,182,0,384,1476,53,32,189,17,0,1270,254,4658,36,21,134,0,665,64,0,9,4,0,19,95,0,164,240,0,18,0,0,35,8,0,0,18,248,0,0,0,8,8,31,425,6,0,7,88,23,160,0,221,0,34,64,3,13,0,11,0,2,0,919,99,0,0,15,11,1250,3328,36,0,0,47,49,414,1675,313,0,104,146,94,18,0,172,0,0,262,15,6,0,0,48,12,9,2,35,51,111,51,143,108,61,33,437,1542,26,0,76,86,4,0,0,101,19,0,116,98,136,499,61,92,50,11,291,0
Rothia,23,0,0,3,0,3,24,2,14,0,0,0,22,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,49,0,0,17,0,0,26,0,0,0,85,0,0,0,4,0,17,0,0,0,0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,15,0,22,0,0,0,0,0,0,0,0,0,0,0,27,0,0,166,0,0,0,0,0,0,0,0,14,0,0,0,0,0,74,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,0,5,0
Ruminococcaceae1,0,0,0,0,0,0,0,0,39,0,6,0,0,106,0,0,0,0,44,181,6,0,0,39,23,44,4,0,0,0,0,0,4,0,0,0,0,44,22,281,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,25,0,0,0,0,14,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,9,0,0,0,2,75,0,0,6,0,6,0,0,0,0,0,0,0,11,32,0,0,23,0,0,0
Staphylococcus,11,103,6,75,3,18,8,94,26,15,29,127,0,0,6,0,45,77,0,21,0,0,6152,203,21,110,193,134,15,12,37,0,12,5,11,191,15,5,6,15,15,37,11,177,0,4,12,168,163,2,4,12,13,17,13,67,6,7,12,137,20,10,11,173,0,2,24,354,22,4082,0,9,13,6,18,7,16,4,28,2,120,3,6,16,7,0,19,74,10,6,26,6,11,33,220,6,103,163,36,125,70,173,10,113,8,10,0,185,71,0,0,9,19,9,7,106,8,13,8,0,9,7,6,0,7,26,17,64,23,2,12,8,0,8,8,6,9,0,4,342,4,16,5,19,594,198,9,18,0,0,11,21,5,9
Streptococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
Tetragenococcus,0,0,0,14,7,54,0,9,0,0,10,71,0,0,18,16,9,21,0,8,0,22,0,58,0,71,0,9,29,23,0,0,0,43,8,35,0,9,48,0,0,130,0,0,0,41,0,163,29,0,0,45,0,39,0,153,0,17,6,0,0,0,33,3,0,0,0,0,0,0,0,67,0,46,0,0,10,66,0,0,0,0,33,131,20,10,0,80,0,173,4,32,9,0,0,6,0,69,0,0,0,459,0,0,51,32,14,114,17,0,0,26,54,7,0,48,0,30,0,22,22,0,0,0,0,67,0,26,0,43,0,53,0,99,9,0,37,3,0,69,0,21,42,10,128,0,13,48,0,0,0,49,0,14
Turicella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuzzerella,0,0,0,0,0,0,0,46,0,0,13,0,0,106,0,0,0,0,0,59,2,0,0,3,17,20,0,0,0,0,3,51,0,0,10,0,0,0,0,226,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,23,118,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,19,19,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0
UCG-009,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,6,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,13,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,53,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,141,0,0,0,7,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0