Genus,403_IC,403_IL,405_IC,405_IL,407_IC,407_IL,408_IC,408_IL,411_IC,411_IL,412_IC,412_IL,414_IC,414_IL,420_IC,420_IL,425_IC,425_IL,427_IC,427_IL,428_IC,428_IL,431_IC,431_IL,432_IC,432_IL,433_IC,433_IL,437_IC,437_IL,438_IC,438_IL,439_IC,439_IL,444_IC,444_IL,449_IC,449_IL,450_IC,450_IL,451_IC,451_IL,452_IC,452_IL,456_IC,456_IL,459_IC,459_IL,461_IC,461_IL,463_IC,463_IL,464_IC,464_IL,465_IC,465_IL,466_IC,466_IL,471_IC,471_IL,472_IC,472_IL,475_IC,475_IL,476_IC,476_IL,478_IC,478_IL,481_IC,481_IL,482_IC,482_IL,484_IC,484_IL,485_IC,485_IL,489_IC,489_IL,495_IC,495_IL,500_IC,500_IL,505_IC,505_IL,509_IC,509_IL,510_IC,510_IL,515_IC,515_IL,517_IC,517_IL,518_IC,518_IL,519_IC,519_IL,521_IC,521_IL,522_IC,522_IL,524_IC,524_IL,528_IC,528_IL,532_IC,532_IL,534_IC,534_IL,535_IC,535_IL,536_IC,536_IL,538_IC,538_IL,541_IC,541_IL,542_IC,542_IL,547_IC,547_IL,548_IC,548_IL,549_IC,549_IL,553_IC,553_IL,555_IC,555_IL,562_IC,562_IL,564_IC,564_IL,568_IC,568_IL,571_IC,571_IL,572_IC,572_IL,573_IC,573_IL,577_IC,577_IL,578_IC,578_IL,579_IC,579_IL,580_IC,580_IL,584_IC,584_IL,590_IC,590_IL,592_IC,592_IL
Incertae_Sedis,51,24,48,33,12,55,4,5,56,18,89,37,11,167,135,813,12,0,59,211,22,16,21,25,22,527,5,33,169,191,20,72,58,30,76,81,5,12,38,596,424,981,1037,100,149,68,6,4,6,0,0,12,92,30,244,185,67,379,6,4,8,28,0,10,30,475,9,90,245,221,110,63,82,126,0,3,12,25,7,6,5,193,9,22,32,34,6,13,0,0,31,88,4,392,8,77,160,117,439,53,0,6,7,32,11,52,0,729,12,34,2,4,6,6,0,10,25,115,0,11,40,42,14,136,5,16,91,71,59,113,0,168,6,35,14,13,184,273,17,32,0,0,7,8,36,79,21,0,29,7,0,11,834,90
Intestinimonas,7,17,0,0,0,0,0,15,9,0,2,0,0,29,13,556,0,0,49,84,0,0,19,24,0,43,8,0,13,36,0,15,9,12,10,10,0,0,0,67,119,198,288,15,21,0,0,0,0,0,0,0,10,5,16,11,15,143,0,0,0,0,0,0,5,182,0,63,3,14,0,7,11,0,0,0,13,25,3,0,0,7,0,0,0,20,3,0,0,0,0,18,0,191,8,38,0,8,133,0,0,0,0,14,11,9,0,176,0,0,0,0,0,12,0,0,2,78,0,7,0,29,24,15,0,0,32,0,15,31,0,61,0,5,0,0,71,130,0,11,0,0,0,0,33,37,0,0,10,0,0,7,330,12
Lachnoclostridium,170,146,307,100,28,21,19,32,92,0,366,152,74,154,1013,1115,46,10,128,378,140,40,110,108,77,1108,0,38,624,187,150,266,548,314,365,302,8,51,46,404,366,876,1492,331,971,166,15,20,21,23,23,17,721,169,1779,720,270,905,129,19,50,31,11,20,349,881,136,246,678,506,958,729,1235,818,13,0,488,1716,61,15,13,207,66,29,493,124,40,44,17,20,131,99,10,543,50,138,667,498,831,373,0,14,53,113,12,47,14,811,25,71,27,104,265,186,0,28,179,303,21,71,200,268,62,118,32,53,1450,417,832,306,15,223,21,89,105,33,284,589,248,163,6,14,38,30,1749,416,191,11,420,117,9,23,1050,617
Lachnospiraceae1,128,203,21,71,29,21,28,162,473,12,34,20,62,628,225,4327,57,3,370,2491,134,0,254,298,42,2073,16,745,13,140,46,19,61,20,49,181,7,150,113,1328,918,2319,1924,184,146,61,0,0,4,62,85,411,108,189,338,280,190,1199,94,18,59,12,0,6,23,915,12,361,46,116,42,65,58,123,0,0,37,201,30,20,0,236,58,96,74,72,21,64,4,0,33,52,68,1992,59,544,214,1381,1816,110,6,7,22,428,56,424,27,3604,36,131,8,66,25,33,0,6,103,548,0,52,35,36,186,667,24,181,92,39,298,244,4,675,26,148,11,0,898,1602,36,67,8,0,14,0,222,157,75,0,48,17,0,37,5407,33
Lachnospiraceae2,76,238,96,85,54,63,36,116,160,0,165,48,17,782,809,3515,131,11,657,3465,74,210,182,319,92,2877,34,132,392,588,57,30,200,162,246,162,9,28,214,2398,1085,2700,1522,130,192,22,15,31,18,29,13,387,179,88,632,271,269,1441,68,8,10,16,3,21,337,1703,32,907,16,47,31,47,25,12,23,0,153,461,28,6,3,848,79,309,156,56,0,59,13,12,98,112,86,1859,87,786,224,916,1631,209,8,2,40,601,75,179,11,2264,66,140,17,58,141,132,0,8,150,371,0,17,93,132,114,581,42,57,922,264,410,360,0,1066,14,145,12,11,660,1508,68,209,7,0,50,157,1498,723,41,48,182,24,21,18,6374,245
Lachnospiraceae_FCS020_group,5,7,0,15,0,0,5,17,12,0,0,9,0,182,6,41,8,0,24,100,0,0,0,17,0,164,0,0,0,30,0,11,40,0,0,4,0,0,13,95,70,179,2177,51,11,2,0,0,0,0,0,0,0,5,3,0,20,117,0,0,3,0,0,0,9,94,0,11,4,13,12,8,4,0,0,0,0,0,0,0,0,67,11,0,0,0,0,20,0,8,5,0,0,105,0,0,19,86,143,0,0,0,3,12,48,26,0,0,3,9,0,0,0,0,0,0,14,18,0,0,0,6,15,41,2,0,16,5,36,20,0,54,0,35,0,5,87,212,0,10,0,0,7,0,13,0,0,0,5,7,0,0,189,6
Lachnospiraceae_NK4A136_group,503,1031,44,157,75,38,97,658,346,26,90,60,403,7290,188,15518,477,18,2071,8908,257,241,1334,1029,122,8639,106,294,148,2698,106,113,331,269,166,336,46,190,886,8289,6814,8916,7448,543,139,180,38,69,64,794,72,123,216,200,341,412,1019,5050,53,89,44,65,28,67,230,3411,53,1557,216,252,234,363,137,84,28,20,139,243,53,27,24,1962,348,154,104,48,55,263,19,73,88,119,187,3744,79,759,125,1610,4034,166,35,71,123,1098,210,800,44,2188,105,324,30,30,103,129,3,61,406,2370,12,53,49,169,863,1396,64,128,143,70,707,400,41,1733,57,456,26,71,1740,3237,97,224,98,31,197,93,504,460,423,49,126,73,4,80,8002,61
Lachnospiraceae_UCG-001,1406,1489,176,123,133,45,253,1043,41,8,0,29,0,37,29,104,675,63,60,359,60,30,72,114,196,7596,86,1440,40,15,22,17,47,64,55,234,30,148,1561,8692,5051,5504,81,336,54,87,28,44,46,0,29,95,40,28,41,65,540,10147,103,96,215,142,29,32,251,6006,27,4402,137,183,136,337,174,117,24,12,180,262,126,50,42,3919,506,122,45,39,37,131,21,47,106,61,131,5926,361,1956,109,3368,3250,75,87,36,240,2970,372,1024,74,5712,177,111,64,75,140,169,7,41,607,2222,33,85,93,447,1804,2433,127,225,427,152,332,850,48,2569,113,261,26,34,1946,3397,56,249,53,9,102,36,463,425,273,61,376,117,8,30,5613,168
Lachnospiraceae_UCG-004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnospiraceae_UCG-006,43,12,26,18,11,9,8,5,19,13,25,13,0,95,82,74,21,0,29,49,9,0,12,0,9,175,0,0,69,90,24,95,17,6,32,42,0,0,16,110,75,98,1235,153,120,6,0,0,5,0,4,0,35,0,51,89,24,100,3,0,0,7,0,0,28,165,9,26,168,378,47,36,64,57,11,0,108,117,11,5,0,76,15,0,27,0,9,0,0,0,8,3,4,66,7,17,21,20,149,6,0,0,6,22,26,60,0,165,0,0,0,7,17,10,0,0,16,0,0,0,8,4,14,24,0,0,53,29,40,13,0,25,0,32,20,0,50,110,18,62,0,0,7,6,195,23,12,0,10,0,0,2,486,119
Lactobacillus,10941,5834,25928,6614,1311,7362,3310,3277,38554,1433,41611,12055,17040,7603,20142,3418,41926,1423,2809,2293,22769,5297,2759,3259,53581,10498,11746,1029,52268,8257,30634,14368,35149,49372,50421,54451,23091,31614,63131,11907,1571,1995,5205,13295,13609,2315,41901,24226,62056,13651,29287,8254,55693,35883,31609,10701,39576,6600,28159,1838,23524,21136,16037,17164,17256,32629,19925,18384,14366,9699,28661,12497,30497,14907,1053,560,29128,35103,21921,1492,30820,17759,19035,2936,28411,5229,29026,4888,35651,68096,23018,14537,15054,25979,28889,6066,25021,32566,5126,5650,6793,1057,39099,39515,873,1011,7518,14040,28584,7510,17358,23604,45028,55642,10062,28832,19632,42247,4389,19349,21958,14592,28216,3095,31459,6689,35639,31479,93764,32615,12490,4095,6899,5286,13262,2446,3274,1726,42071,9751,2392,1213,25266,4224,30483,7071,50621,11785,4557,2229,1258,25156,3013,17981
Lawsonella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Listeria,15,93,0,85,0,18,15,23,22,8,17,17,0,16,0,21,0,9,0,27,13,0,19,19,20,41,15,20,28,18,11,58,16,85,15,24,13,34,22,28,11,15,17,128,0,10,17,22,27,12,0,19,22,0,188,33,26,27,15,26,0,16,11,31,12,30,0,13,0,12,13,17,0,13,15,6,18,17,4,8,10,26,11,24,22,9,20,30,9,22,0,25,14,27,0,29,14,29,14,15,0,23,17,33,9,23,0,27,23,25,8,24,16,27,0,38,0,23,0,15,8,22,18,18,76,24,15,32,145,23,9,16,0,143,0,28,0,17,13,75,0,22,11,158,18,14,17,36,0,14,18,21,16,25
Marvinbryantia,19,6,12,8,4,3,0,0,0,0,0,0,15,100,74,0,6,0,45,98,86,0,9,20,0,20,0,0,33,4,8,0,87,12,47,23,2,10,0,16,48,56,110,67,74,0,0,4,0,0,0,0,42,8,38,29,16,9,16,0,3,20,0,0,11,19,6,0,114,144,39,34,92,120,0,0,94,285,0,0,0,0,0,0,21,16,11,0,0,0,3,40,0,0,0,0,10,10,49,0,0,0,13,9,0,0,0,22,0,15,0,0,28,40,0,0,22,33,10,30,21,0,0,0,6,0,83,0,37,0,0,4,2,6,19,0,12,20,16,43,0,0,4,0,9,0,16,0,105,0,0,0,60,26
Methylobacterium-Methylorubrum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,33,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,2,0,0,0,6,0,0,0,22,0,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
Micrococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monoglobus,8,0,23,0,0,0,0,0,0,0,0,0,0,7,3,11,0,0,26,37,16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,10,0,0,7,0,11,3,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,12,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,4,0,10,0,0,0,33,18
Mucispirillum,21,259,15,80,5,23,14,377,27,0,25,5,15,946,16,10920,56,33,605,9327,19,195,166,2074,32,5797,68,791,50,1773,17,0,33,502,24,101,6,162,71,4945,2213,2194,3511,250,7,72,39,166,26,13,18,227,32,104,16,29,51,1141,26,20,14,160,12,38,12,3201,23,1445,23,43,22,281,16,11,25,11,24,27,10,39,22,804,11,131,25,9,18,65,17,24,14,11,18,32,13,368,15,192,1164,91,9,18,26,566,31,489,13,2737,27,91,14,14,23,39,4,59,13,44,3,11,13,127,21,838,27,63,22,48,154,712,7,781,0,219,17,54,545,1323,28,431,7,12,24,21,35,1177,165,247,6,18,37,54,14081,27
Muribaculaceae,3431,6035,2612,2218,18642,11519,2135,1211,3736,274,1127,1638,5309,5171,4287,2182,170,326,530,1584,12878,5125,382,991,4864,3734,1127,411,2077,853,2413,4045,7856,5076,6781,14308,1963,3665,221,1986,3743,4112,11949,16114,1484,531,126,143,206,142,167,643,14641,12383,788,18295,5859,6111,1813,1808,2883,7437,78,115,2416,14299,139,3527,3221,5044,8363,11810,3439,10643,169,41,3403,20817,123,514,70,407,10104,977,13570,7629,1631,829,110,201,2577,7319,1450,18071,2462,1278,11172,7174,5737,7382,229,264,1131,8716,158,314,1328,6618,4076,2333,5384,11484,9355,24789,26,176,6939,16048,766,15385,6597,6092,1644,1395,7258,11806,5971,5568,20887,7210,1575,1514,1801,2808,8113,6696,4087,6631,6334,2893,2546,555,4487,1750,7479,4712,10537,10102,3282,3494,241,7059,8057,17094
Muribaculum,18,26,10,6,236,118,19,0,33,0,3,7,41,27,0,14,0,7,17,21,43,150,0,9,67,56,0,0,11,0,0,29,137,371,25,219,62,232,7,43,191,162,75,252,56,0,0,0,0,0,0,0,0,0,0,0,63,148,0,45,0,61,0,0,6,35,0,20,13,37,34,133,8,80,0,0,82,970,0,0,0,0,28,15,87,8,10,0,0,0,5,133,57,70,39,25,46,32,113,203,3,0,6,57,0,0,25,71,33,15,26,33,45,167,0,39,15,103,0,98,25,81,0,0,38,122,0,46,60,17,21,12,19,15,70,103,87,127,36,0,32,8,11,0,17,65,59,93,32,71,0,16,0,0
NK4A214_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odoribacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,29,0,0,0,0,0,224,0,0,0,19,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29,0,0,0,0,0,0,0,0
Oligella,0,0,0,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oscillibacter,4,30,0,0,0,0,5,11,72,0,0,0,0,20,5,365,0,3,58,292,8,0,0,9,6,454,0,4,0,94,6,0,24,0,8,15,0,0,13,286,341,529,190,24,4,0,0,0,0,33,0,0,17,28,25,9,20,194,3,2,0,0,0,0,0,148,0,41,0,4,13,15,0,0,0,0,7,0,4,0,0,174,8,12,0,0,0,6,3,0,4,0,0,234,8,49,11,80,210,19,0,0,0,62,7,46,0,816,12,28,0,0,6,0,0,5,11,36,0,0,3,0,10,49,0,4,5,0,50,26,0,153,0,7,0,0,170,332,5,0,0,0,0,6,15,41,5,0,0,0,4,0,982,5
Oscillospiraceae1,0,0,0,0,0,0,0,0,11,0,0,0,0,43,0,65,16,0,21,82,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,107,63,128,117,7,0,0,0,0,0,0,0,0,0,0,9,0,0,46,0,0,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,70,0,12,0,0,91,0,0,0,0,13,0,0,0,44,0,0,0,0,0,0,0,0,0,13,0,8,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,20,62,0,11,0,0,0,0,0,0,0,0,0,0,0,0,184,0
Oscillospiraceae2,5,24,10,0,0,3,12,17,52,0,0,3,5,193,0,621,9,0,64,472,14,36,16,19,14,554,13,11,5,94,2,0,16,10,25,56,0,0,41,859,528,1176,1043,41,3,37,3,0,0,20,0,7,21,29,17,14,16,483,4,0,0,10,0,0,10,283,0,37,0,9,20,16,6,21,0,0,14,0,0,0,0,264,8,24,16,2,0,20,0,0,9,2,0,476,8,70,6,62,904,30,0,0,0,164,13,29,4,1930,7,9,0,37,7,12,0,0,7,159,0,0,10,5,0,110,0,0,10,0,65,73,0,340,3,29,0,3,245,576,0,11,0,0,3,0,23,14,9,0,6,0,0,0,1419,0
Peptococcaceae,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,25,2,0,10,25,0,0,8,0,0,30,0,0,0,0,0,0,0,0,0,7,0,0,0,76,31,54,147,10,3,0,0,0,0,0,0,0,0,0,6,4,8,28,0,0,0,0,0,0,5,0,0,0,8,0,8,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,3,0,0,25,0,14,3,18,77,0,0,0,0,4,0,0,0,89,0,10,0,0,0,0,0,0,0,21,0,0,0,0,4,43,0,0,3,70,8,9,0,0,0,11,2,0,48,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,10
Pseudomonas,4,50,0,34,3,12,0,9,6,0,0,6,0,0,0,6,7,3,0,5,0,0,9,3,0,16,10,9,0,10,6,32,0,44,0,10,0,6,13,9,0,8,0,42,10,7,10,11,10,3,0,0,0,9,82,16,0,0,0,14,0,6,0,13,0,8,0,0,4,0,0,6,6,9,6,0,3,11,0,8,0,0,0,15,0,7,0,24,2,6,5,11,12,10,0,8,0,0,7,11,8,9,7,15,9,13,5,7,11,12,0,9,13,6,0,0,5,12,0,0,0,7,8,5,32,8,7,8,98,9,0,0,0,70,0,6,5,8,10,24,0,14,0,70,0,0,0,9,0,0,0,24,9,21
Roseburia,8609,9358,71,125,98,133,184,681,505,25,121,55,210,1077,318,12696,256,12,884,4350,102,49,2874,1859,117,2847,105,2165,147,724,86,47,154,196,71,130,117,183,484,3350,1445,1989,7095,325,601,69,27,42,40,173,56,671,66,84,498,770,342,2991,38,35,58,144,22,52,95,4119,28,1714,77,91,38,125,34,59,27,12,62,81,12,175,22,1010,125,111,57,11,24,145,13,37,40,31,200,2071,56,542,49,1765,1415,53,26,36,71,944,207,487,116,1393,324,154,21,26,78,57,6,42,114,684,14,21,37,156,355,692,86,125,178,50,246,254,25,578,75,330,17,43,597,1179,117,78,31,0,50,24,152,115,320,32,98,54,11,26,1790,79
Rothia,0,6,14,5,0,0,3,0,921,13,2,0,7,0,35,0,8,0,19,6,4,0,16,0,5,0,39,0,0,0,0,0,0,0,8,0,0,0,4,4,0,0,0,3,22,0,8,0,9,0,0,0,6,4,19,0,0,0,26,0,0,0,84,15,0,3,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,11,0,5,0,25,0,0,0,9,19,10,7,8,0,15,0,0,0,11,0,0,0,0,2,0,0,0,5,4,0,9,0,6,5,7,0,5,0,0,0,0,0,0,0,29,0,25,0,0,0,7,4,0,0,20,2,4,0,8,0,10,4,18,0,3,0,13,4,0,0,0,0
Ruminococcaceae1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcaceae2,0,0,0,0,0,0,3,2,5,0,0,0,0,39,0,83,0,0,21,104,0,0,0,11,0,36,0,0,0,0,0,0,0,0,0,0,0,7,7,121,83,131,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,62,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,0,0,0,0,0,0,0,112,4,21,0,11,45,8,0,0,0,16,9,0,0,100,0,2,0,0,0,0,0,0,0,19,0,0,3,0,2,7,0,2,0,0,11,10,0,38,0,0,0,0,77,62,0,0,0,0,0,0,0,11,5,0,0,0,0,0,139,0
Staphylococcus,10,102,10,77,0,60,14,19,19,15,12,12,10,8,14,23,17,9,6,20,8,0,22,15,18,59,15,39,19,19,13,68,24,161,18,23,7,31,25,20,7,25,18,178,8,24,11,25,25,28,7,9,19,10,236,23,20,17,16,19,0,42,15,40,8,25,11,9,0,13,11,15,6,11,15,7,13,63,10,18,13,24,14,22,9,12,15,53,15,31,0,0,20,38,7,30,22,41,8,18,9,67,10,50,10,15,11,21,25,30,12,59,21,31,4,23,7,29,0,17,9,22,18,11,90,14,12,16,174,32,5,15,5,199,8,33,8,7,27,94,0,54,12,196,19,14,24,42,0,0,6,43,14,34
Stenotrophomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tetragenococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuzzerella,0,0,0,0,0,0,0,4,4,0,0,0,0,29,0,88,0,0,5,36,0,0,4,0,0,53,3,0,0,0,0,0,5,0,0,0,0,0,0,53,46,181,103,6,0,0,0,0,0,0,0,0,0,5,0,0,0,98,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,7,0,0,0,0,0,0,0,0,47,0,21,0,0,0,0,0,0,0,14,0,0,0,35,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,5,0,0,5,0,0,0,0,34,0,0,0,0,25,58,0,0,0,0,0,13,0,0,0,0,0,0,0,0,192,0
UCG-009,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,85,0,0,0,7,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,21,0,6,4,0,0,0,0,0,0,22,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,3,0,0,0,6,0,11,0,12,0,0,35,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0