ID,Group,Source,Mean,Low_CI,High_CI
Male_Wild_Type_Cecum_Contents,Male_Wild_Type,Cecum_Lumen,0.44695975,0.373363934,0.520555566
Male_Mutant_Cecum_Contents,Male_Mutant,Cecum_Lumen,0.4245864,0.353185808,0.495986992
Female_Wild_Type_Cecum_Contents,Female_Wild_Type,Cecum_Lumen,0.44336825,0.366155059,0.520581441
Female_Mutant_Cecum_Contents,Female_Mutant,Cecum_Lumen,0.492336706,0.415333504,0.569339907
Male_Wild_Type_Cecum_Lining,Male_Wild_Type,Cecum_Mucosa,0.086346,0.062230787,0.110461213
Male_Mutant_Cecum_Lining,Male_Mutant,Cecum_Mucosa,0.09438385,0.057790009,0.130977691
Female_Wild_Type_Cecum_Lining,Female_Wild_Type,Cecum_Mucosa,0.1079112,0.065396343,0.150426057
Female_Mutant_Cecum_Lining,Female_Mutant,Cecum_Mucosa,0.108191235,0.089295748,0.127086723
Male_Wild_Type_Duodenum_Contents,Male_Wild_Type,Duodenum_Lumen,0.2264661,0.1638325,0.2890997
Male_Mutant_Duodenum_Contents,Male_Mutant,Duodenum_Lumen,0.20929105,0.135313435,0.283268665
Female_Wild_Type_Duodenum_Contents,Female_Wild_Type,Duodenum_Lumen,0.16595695,0.086827299,0.245086601
Female_Mutant_Duodenum_Contents,Female_Mutant,Duodenum_Lumen,0.174252765,0.102827509,0.245678021
Male_Wild_Type_Duodenum_Lining,Male_Wild_Type,Duodenum_Mucosa,0.0717328,0.056491129,0.086974471
Male_Mutant_Duodenum_Lining,Male_Mutant,Duodenum_Mucosa,0.1144448,0.073692295,0.155197305
Female_Wild_Type_Duodenum_Lining,Female_Wild_Type,Duodenum_Mucosa,0.09288755,0.064005188,0.121769912
Female_Mutant_Duodenum_Lining,Female_Mutant,Duodenum_Mucosa,0.078863941,0.047862881,0.109865001
Male_Wild_Type_Ileum_Contents,Male_Wild_Type,Ileum_Lumen,0.0744858,0.048077342,0.100894258
Male_Mutant_Ileum_Contents,Male_Mutant,Ileum_Lumen,0.07782325,0.053672875,0.101973625
Female_Wild_Type_Ileum_Contents,Female_Wild_Type,Ileum_Lumen,0.08300205,0.05075116,0.11525294
Female_Mutant_Ileum_Contents,Female_Mutant,Ileum_Lumen,0.062693,0.037973723,0.087412277
Male_Wild_Type_Ileum_Lining,Male_Wild_Type,Ileum_Mucosa,0.0092113,0.008405154,0.010017446
Male_Mutant_Ileum_Lining,Male_Mutant,Ileum_Mucosa,0.012969,0.011761066,0.014176934
Female_Wild_Type_Ileum_Lining,Female_Wild_Type,Ileum_Mucosa,0.0216948,0.018441779,0.024947821
Female_Mutant_Ileum_Lining,Female_Mutant,Ileum_Mucosa,0.020266,0.017926681,0.022605319
Male_Wild_Type_Unknown,Male_Wild_Type,Unknown,0.08479825,0.068490387,0.101106113
Male_Mutant_Unknown,Male_Mutant,Unknown,0.06650165,0.044319286,0.088684014
Female_Wild_Type_Unknown,Female_Wild_Type,Unknown,0.0851792,0.066329432,0.104028968
Female_Mutant_Unknown,Female_Mutant,Unknown,0.063396353,0.04577279,0.081019916